x,y
0.0,1313.416062167991
1.2,-1281.3383370887088
2.4,257.88637473406243
3.5999999999999996,157.16824323238788
4.8,1055.0415024025483
6.0,-92.46311706167796
7.199999999999999,82.2919015212832
8.4,2261.320305477705
9.6,-923.1519030123502
10.799999999999999,1752.416719870404
12.0,2894.6595055191337
13.2,905.3437134287585
14.399999999999999,-1626.9636350988587
15.6,3027.5060530427645
16.8,793.2377990743773
18.0,1691.735950717992
19.2,2680.8556747057
20.4,2732.422032419277
21.599999999999998,3083.024125781884
22.8,3700.535821409477
24.0,3031.6536301042206
25.2,5042.116929349597
26.4,6279.437677974889
27.599999999999998,5689.269319272142
28.799999999999997,6247.367628255277
30.0,6542.880283869337
31.2,7692.026309550058
32.4,6954.677912839207
33.6,7432.119625620841
34.8,7357.757363461327
36.0,9338.988573453862
37.199999999999996,8037.33734182164
38.4,9512.085523596501
39.6,11724.366960569561
40.8,11491.719687660596
42.0,12096.425238873406
43.199999999999996,11398.171863638885
44.4,13766.006600280412
45.6,13593.511327119479
46.8,15196.4537733495
48.0,14351.75796082119
49.199999999999996,16425.172340740886
50.4,17573.41563826812
51.6,18460.81076249281
52.8,19225.542805073528
54.0,16665.272392893752
55.199999999999996,18892.437676310445
56.4,20015.083549716084
57.599999999999994,20849.61709143078
58.8,23287.626676434527
60.0,23251.29690436716
61.199999999999996,24067.718324190322
62.4,24837.63559491842
63.599999999999994,26924.082390563115
64.8,26531.661079683254
66.0,28858.61342235167
67.2,28812.913563093964
68.39999999999999,31827.46771057301
69.6,30744.428156523583
70.8,33482.16352260915
72.0,36105.406146350855
73.2,35567.40176394644
74.39999999999999,35047.44289796181
75.6,38173.43423188819
76.8,40129.969599136355
78.0,39275.11652228508
79.2,41528.88753671718
80.39999999999999,42807.72327886267
81.6,42754.45769383529
82.8,46394.04650969675
84.0,47574.52528107123
85.2,47805.18987960054
86.39999999999999,50648.227202166396
87.6,50166.464429998894
88.8,51639.01435684975
90.0,52599.21217904949
91.2,52876.54354258421
92.39999999999999,58377.6331063049
93.6,59547.564716979454
94.8,59268.89090658758
96.0,61856.084925196024
97.2,61240.779317580724
98.39999999999999,61793.51691632088
99.6,66191.59401530778
